+-------------+---------------+----------+------+----+
| first_name  |   last_name   |  salary  | year | HR |
| Rick        | Aguilera      | 2750000  | 1998 | 0  |
| Rick        | Aguilera      | 3075000  | 1997 | 0  |
| Rick        | Aguilera      | 3500000  | 1996 | 0  |
| Rick        | Aguilera      | 4350000  | 1995 | 0  |
| Rick        | Aguilera      | 4350000  | 1995 | 0  |
| Rick        | Aguilera      | 3260000  | 1994 | 0  |
| Rick        | Aguilera      | 2433333  | 1993 | 0  |
| Rick        | Aguilera      | 2308333  | 1992 | 0  |
| Rick        | Aguilera      | 1533333  | 1991 | 0  |
| Rick        | Aguilera      | 648000   | 1990 | 0  |
| Rick        | Aguilera      | 310000   | 1989 | 0  |
| Rick        | Aguilera      | 310000   | 1989 | 0  |
| Rick        | Aguilera      | 295000   | 1988 | 0  |
| Rick        | Aguilera      | 195000   | 1987 | 1  |
| Rick        | Aguilera      | 130000   | 1986 | 2  |
| Darrel      | Akerfelds     | 165000   | 1991 | 0  |
| Darrel      | Akerfelds     | 102500   | 1990 | 0  |
| Darrel      | Akerfelds     | 62500    | 1987 | 0  |
| Jose        | Alberro       | 109000   | 1995 | 0  |
| Mike        | Aldrete       | 250000   | 1996 | 3  |
| Mike        | Aldrete       | 250000   | 1996 | 3  |
| Mike        | Aldrete       | 430000   | 1995 | 4  |
| Mike        | Aldrete       | 430000   | 1995 | 0  |
| Mike        | Aldrete       | 430000   | 1994 | 4  |
| Mike        | Aldrete       | 200000   | 1993 | 10 |
| Mike        | Aldrete       | 510000   | 1991 | 1  |
| Mike        | Aldrete       | 510000   | 1991 | 0  |
| Mike        | Aldrete       | 297500   | 1990 | 1  |
| Mike        | Aldrete       | 202500   | 1989 | 1  |
| Mike        | Aldrete       | 160000   | 1988 | 3  |
| Mike        | Aldrete       | 75000    | 1987 | 9  |
| Mike        | Aldrete       | 60000    | 1986 | 2  |
| Scott       | Aldred        | 600000   | 2000 | 0  |
| Scott       | Aldred        | 545000   | 1999 | 0  |
| Scott       | Aldred        | 545000   | 1999 | 0  |
| Scott       | Aldred        | 275000   | 1998 | 0  |
| Scott       | Aldred        | 225000   | 1997 | 0  |
| Scott       | Aldred        | 150000   | 1996 | 0  |
| Scott       | Aldred        | 150000   | 1996 | 0  |
| Scott       | Aldred        | 140000   | 1993 | 0  |
| Scott       | Aldred        | 140000   | 1993 | 0  |
| Scott       | Aldred        | 130000   | 1992 | 0  |
| Scott       | Aldred        | 100000   | 1990 | 0  |
| Jay         | Aldrich       | 62500    | 1987 | 0  |
| Doyle       | Alexander     | 1000000  | 1989 | 0  |
| Doyle       | Alexander     | 500000   | 1988 | 0  |
| Doyle       | Alexander     | 650000   | 1987 | 0  |
| Doyle       | Alexander     | 650000   | 1987 | 0  |
| Doyle       | Alexander     | 700000   | 1986 | 0  |
| Doyle       | Alexander     | 700000   | 1986 | 0  |
| Doyle       | Alexander     | 875000   | 1985 | 0  |
| Manny       | Alexander     | 612500   | 2000 | 4  |
| Manny       | Alexander     | 475000   | 1999 | 0  |
| Manny       | Alexander     | 425000   | 1998 | 5  |
| Manny       | Alexander     | 205000   | 1997 | 2  |
| Manny       | Alexander     | 205000   | 1997 | 1  |
| Manny       | Alexander     | 190000   | 1996 | 0  |
| Manny       | Alexander     | 130000   | 1995 | 3  |
| Manny       | Alexander     | 109000   | 1993 | 0  |
| Manny       | Alexander     | 109000   | 1992 | 0  |
| Antonio     | Alfonseca     | 2450000  | 2001 | 0  |
| Antonio     | Alfonseca     | 380000   | 2000 | 0  |
| Antonio     | Alfonseca     | 250000   | 1999 | 0  |
| Antonio     | Alfonseca     | 175000   | 1998 | 0  |
| Antonio     | Alfonseca     | 150000   | 1997 | 0  |
| Edgardo     | Alfonzo       | 5750000  | 2001 | 17 |
| Edgardo     | Alfonzo       | 4225000  | 2000 | 25 |
| Edgardo     | Alfonzo       | 2800000  | 1999 | 27 |
| Edgardo     | Alfonzo       | 1750000  | 1998 | 17 |
| Edgardo     | Alfonzo       | 215000   | 1997 | 10 |
| Edgardo     | Alfonzo       | 180000   | 1996 | 4  |
| Edgardo     | Alfonzo       | 109000   | 1995 | 4  |
| Luis        | Alicea        | 800000   | 2001 | 4  |
| Luis        | Alicea        | 750000   | 2000 | 6  |
| Luis        | Alicea        | 825000   | 1999 | 3  |
| Luis        | Alicea        | 750000   | 1998 | 6  |
| Luis        | Alicea        | 650000   | 1997 | 5  |
| Luis        | Alicea        | 750000   | 1996 | 5  |
| Luis        | Alicea        | 800000   | 1995 | 6  |
| Luis        | Alicea        | 650000   | 1994 | 5  |
| Luis        | Alicea        | 160000   | 1993 | 3  |
| Andy        | Allanson      | 150000   | 1995 | 3  |
| Andy        | Allanson      | 120000   | 1993 | 0  |
| Andy        | Allanson      | 100000   | 1991 | 1  |
| Andy        | Allanson      | 235000   | 1989 | 3  |
| Andy        | Allanson      | 102500   | 1988 | 5  |
| Andy        | Allanson      | 75000    | 1987 | 3  |
| Andy        | Allanson      | 60000    | 1986 | 1  |
| Chad        | Allen         | 240000   | 2001 | 4  |
| Chad        | Allen         | 200000   | 1999 | 10 |
| Jermaine    | Allensworth   | 284000   | 1999 | 3  |
| Jermaine    | Allensworth   | 260000   | 1998 | 3  |
| Jermaine    | Allensworth   | 260000   | 1998 | 2  |
| Jermaine    | Allensworth   | 260000   | 1998 | 0  |
| Jermaine    | Allensworth   | 160000   | 1997 | 3  |
| Jermaine    | Allensworth   | 109000   | 1996 | 4  |
| Neil        | Allen         | 325000   | 1989 | 0  |
| Neil        | Allen         | 250000   | 1988 | 0  |
| Neil        | Allen         | 1250000  | 1987 | 0  |
| Neil        | Allen         | 1250000  | 1987 | 0  |
| Neil        | Allen         | 900000   | 1986 | 0  |
| Neil        | Allen         | 750000   | 1985 | 0  |
| Neil        | Allen         | 750000   | 1985 | 0  |
| Beau        | Allred        | 102500   | 1991 | 3  |
| Beau        | Allred        | 100000   | 1990 | 1  |
| Armando     | Almanza       | 225000   | 2001 | 0  |
| Armando     | Almanza       | 203000   | 2000 | 0  |
| Armando     | Almanza       | 200000   | 1999 | 0  |
| Carlos      | Almanzar      | 270000   | 2001 | 0  |
| Carlos      | Almanzar      | 215000   | 2000 | 0  |
| Carlos      | Almanzar      | 172500   | 1998 | 0  |
| Bill        | Almon         | 250000   | 1988 | 0  |
| Bill        | Almon         | 250000   | 1987 | 0  |
| Bill        | Almon         | 250000   | 1987 | 0  |
| Bill        | Almon         | 260000   | 1986 | 7  |
| Bill        | Almon         | 255000   | 1985 | 6  |
| Roberto     | Alomar        | 7750000  | 2001 | 20 |
| Roberto     | Alomar        | 7196656  | 2000 | 19 |
| Roberto     | Alomar        | 7049966  | 1999 | 24 |
| Roberto     | Alomar        | 6343771  | 1998 | 14 |
| Roberto     | Alomar        | 6354379  | 1997 | 14 |
| Roberto     | Alomar        | 4279379  | 1996 | 22 |
| Roberto     | Alomar        | 5500000  | 1995 | 13 |
| Roberto     | Alomar        | 5433334  | 1994 | 8  |
| Roberto     | Alomar        | 4933333  | 1993 | 17 |
| Roberto     | Alomar        | 2983333  | 1992 | 8  |
| Roberto     | Alomar        | 1300000  | 1991 | 9  |
| Roberto     | Alomar        | 390000   | 1990 | 6  |
| Roberto     | Alomar        | 150000   | 1989 | 7  |
| Sandy       | Alomar        | 2900000  | 2001 | 4  |
| Sandy       | Alomar        | 2700000  | 2000 | 7  |
| Sandy       | Alomar        | 2800000  | 1999 | 6  |
| Sandy       | Alomar        | 2725000  | 1998 | 6  |
| Sandy       | Alomar        | 2600000  | 1997 | 21 |
| Sandy       | Alomar        | 2575000  | 1996 | 11 |
| Sandy       | Alomar        | 2550000  | 1995 | 10 |
| Sandy       | Alomar        | 2200000  | 1994 | 14 |
| Sandy       | Alomar        | 1300000  | 1993 | 6  |
| Sandy       | Alomar        | 525000   | 1992 | 2  |
| Sandy       | Alomar        | 360000   | 1991 | 0  |
| Sandy       | Alomar        | 115000   | 1990 | 9  |
| Moises      | Alou          | 5250000  | 2001 | 27 |
| Moises      | Alou          | 5250000  | 2000 | 30 |
| Moises      | Alou          | 5020000  | 1998 | 38 |
| Moises      | Alou          | 4500000  | 1997 | 23 |
| Moises      | Alou          | 3050000  | 1996 | 21 |
| Moises      | Alou          | 3000000  | 1995 | 14 |
| Moises      | Alou          | 1415000  | 1994 | 22 |
| Moises      | Alou          | 210000   | 1993 | 18 |
| Moises      | Alou          | 110500   | 1992 | 9  |
| Moises      | Alou          | 100000   | 1990 | 0  |
| Moises      | Alou          | 100000   | 1990 | 0  |
| Gabe        | Alvarez       | 170000   | 1998 | 5  |
| Jose        | Alvarez       | 125000   | 1989 | 0  |
| Tavo        | Alvarez       | 109000   | 1996 | 0  |
| Wilson      | Alvarez       | 4500000  | 1999 | 0  |
| Wilson      | Alvarez       | 4500000  | 1998 | 0  |
| Wilson      | Alvarez       | 4662500  | 1997 | 0  |
| Wilson      | Alvarez       | 4662500  | 1997 | 0  |
| Wilson      | Alvarez       | 2825000  | 1996 | 0  |
| Wilson      | Alvarez       | 2250000  | 1995 | 0  |
| Wilson      | Alvarez       | 285000   | 1994 | 0  |
| Wilson      | Alvarez       | 180000   | 1993 | 0  |
| Wilson      | Alvarez       | 130000   | 1992 | 0  |
| Wilson      | Alvarez       | 100000   | 1991 | 0  |
| Rich        | Amaral        | 500000   | 2000 | 0  |
| Rich        | Amaral        | 500000   | 1999 | 0  |
| Rich        | Amaral        | 550000   | 1998 | 1  |
| Rich        | Amaral        | 550000   | 1997 | 1  |
| Rich        | Amaral        | 450000   | 1996 | 1  |
| Rich        | Amaral        | 250000   | 1995 | 2  |
| Rich        | Amaral        | 232500   | 1994 | 4  |
| Rich        | Amaral        | 137500   | 1993 | 1  |
| Ruben       | Amaro         | 265000   | 1998 | 1  |
| Ruben       | Amaro         | 275000   | 1997 | 2  |
| Ruben       | Amaro         | 109000   | 1996 | 2  |
| Ruben       | Amaro         | 175000   | 1995 | 1  |
| Ruben       | Amaro         | 163000   | 1994 | 2  |
| Ruben       | Amaro         | 150000   | 1993 | 1  |
| Ruben       | Amaro         | 109000   | 1992 | 7  |
| Allan       | Anderson      | 785000   | 1991 | 0  |
| Allan       | Anderson      | 300000   | 1990 | 0  |
| Allan       | Anderson      | 200000   | 1989 | 0  |
| Brady       | Anderson      | 7200000  | 2001 | 8  |
| Brady       | Anderson      | 7127199  | 2000 | 19 |
| Brady       | Anderson      | 5674897  | 1999 | 24 |
| Brady       | Anderson      | 5441843  | 1998 | 18 |
| Brady       | Anderson      | 4050000  | 1997 | 18 |
| Brady       | Anderson      | 3613333  | 1996 | 50 |
| Brady       | Anderson      | 3333333  | 1995 | 16 |
| Brady       | Anderson      | 3083333  | 1994 | 12 |
| Brady       | Anderson      | 1855000  | 1993 | 13 |
| Brady       | Anderson      | 365000   | 1992 | 21 |
| Brady       | Anderson      | 165000   | 1991 | 2  |
| Brady       | Anderson      | 120000   | 1990 | 3  |
| Brady       | Anderson      | 62500    | 1988 | 1  |
| Brady       | Anderson      | 62500    | 1988 | 0  |
| Brian       | Anderson      | 4125000  | 2001 | 0  |
| Brian       | Anderson      | 2250000  | 2000 | 0  |
| Brian       | Anderson      | 1800000  | 1999 | 1  |
| Brian       | Anderson      | 775000   | 1998 | 0  |
| Brian       | Anderson      | 135000   | 1995 | 0  |
| Brian       | Anderson      | 120000   | 1994 | 0  |
| Brian       | Anderson      | 109000   | 1993 | 0  |
| Dave        | Anderson      | 350000   | 1992 | 3  |
| Dave        | Anderson      | 600000   | 1991 | 2  |
| Dave        | Anderson      | 500000   | 1990 | 1  |
| Dave        | Anderson      | 420000   | 1989 | 1  |
| Dave        | Anderson      | 262500   | 1988 | 2  |
| Dave        | Anderson      | 225000   | 1987 | 1  |
| Dave        | Anderson      | 200000   | 1986 | 1  |
| Garret      | Anderson      | 4500000  | 2001 | 28 |
| Garret      | Anderson      | 3250000  | 2000 | 35 |
| Garret      | Anderson      | 2200000  | 1999 | 21 |
| Garret      | Anderson      | 1500000  | 1998 | 15 |
| Garret      | Anderson      | 600000   | 1997 | 8  |
| Garret      | Anderson      | 250000   | 1996 | 12 |
| Garret      | Anderson      | 114000   | 1995 | 16 |
| Garret      | Anderson      | 109000   | 1994 | 0  |
| Jimmy       | Anderson      | 285000   | 2001 | 0  |
| Jimmy       | Anderson      | 215000   | 2000 | 0  |
| Jimmy       | Anderson      | 200000   | 1999 | 0  |
| Kent        | Anderson      | 105000   | 1990 | 1  |
| Kent        | Anderson      | 68000    | 1989 | 0  |
| Larry       | Andersen      | 350000   | 1994 | 0  |
| Larry       | Andersen      | 700000   | 1993 | 0  |
| Larry       | Andersen      | 2000000  | 1992 | 0  |
| Larry       | Andersen      | 2000000  | 1991 | 0  |
| Larry       | Andersen      | 965000   | 1990 | 0  |
| Larry       | Andersen      | 965000   | 1990 | 0  |
| Larry       | Andersen      | 475000   | 1989 | 0  |
| Larry       | Andersen      | 450000   | 1988 | 0  |
| Larry       | Andersen      | 300000   | 1987 | 0  |
| Larry       | Andersen      | 240000   | 1986 | 0  |
| Larry       | Andersen      | 240000   | 1986 | 0  |
| Larry       | Andersen      | 60000    | 1986 | 0  |
| Larry       | Andersen      | 60000    | 1986 | 0  |
| Larry       | Andersen      | 250500   | 1985 | 0  |
| Matt        | Anderson      | 355000   | 2001 | 0  |
| Matt        | Anderson      | 255000   | 2000 | 0  |
| Matt        | Anderson      | 240000   | 1999 | 0  |
| Matt        | Anderson      | 170000   | 1998 | 0  |
| Marlon      | Anderson      | 280000   | 2001 | 11 |
| Marlon      | Anderson      | 200000   | 1999 | 5  |
| Shane       | Andrews       | 1000000  | 2000 | 14 |
| Shane       | Andrews       | 1250000  | 1999 | 11 |
| Shane       | Andrews       | 1250000  | 1999 | 5  |
| Shane       | Andrews       | 450000   | 1998 | 25 |
| Shane       | Andrews       | 225000   | 1997 | 4  |
| Shane       | Andrews       | 135000   | 1996 | 19 |
| Shane       | Andrews       | 109000   | 1995 | 8  |
| Joaquin     | Andujar       | 450000   | 1988 | 0  |
| Joaquin     | Andujar       | 1353333  | 1987 | 0  |
| Joaquin     | Andujar       | 1233333  | 1986 | 0  |
| Joaquin     | Andujar       | 1030000  | 1985 | 0  |
| Luis        | Andujar       | 170000   | 1997 | 0  |
| Rick        | Ankiel        | 400000   | 2001 | 0  |
| Rick        | Ankiel        | 202500   | 2000 | 2  |
| Rick        | Ankiel        | 200000   | 1999 | 0  |
| Eric        | Anthony       | 1025000  | 1996 | 8  |
| Eric        | Anthony       | 1025000  | 1996 | 4  |
| Eric        | Anthony       | 575000   | 1995 | 5  |
| Eric        | Anthony       | 1100000  | 1994 | 10 |
| Eric        | Anthony       | 350000   | 1993 | 15 |
| Eric        | Anthony       | 120000   | 1992 | 19 |
| Eric        | Anthony       | 115000   | 1991 | 1  |
| Eric        | Anthony       | 68000    | 1989 | 4  |
| Kevin       | Appier        | 8500000  | 2001 | 0  |
| Kevin       | Appier        | 5600000  | 2000 | 0  |
| Kevin       | Appier        | 4800000  | 1999 | 0  |
| Kevin       | Appier        | 4800000  | 1999 | 0  |
| Kevin       | Appier        | 4800000  | 1998 | 0  |
| Kevin       | Appier        | 4800000  | 1997 | 0  |
| Kevin       | Appier        | 5051250  | 1996 | 0  |
| Kevin       | Appier        | 4387500  | 1995 | 0  |
| Kevin       | Appier        | 3800000  | 1994 | 0  |
| Kevin       | Appier        | 2000000  | 1993 | 0  |
| Kevin       | Appier        | 390000   | 1992 | 0  |
| Kevin       | Appier        | 215000   | 1991 | 0  |
| Kevin       | Appier        | 100000   | 1990 | 0  |
| Luis        | Aquino        | 420000   | 1995 | 0  |
| Luis        | Aquino        | 420000   | 1995 | 0  |
| Luis        | Aquino        | 575000   | 1994 | 0  |
| Luis        | Aquino        | 735000   | 1993 | 0  |
| Luis        | Aquino        | 650000   | 1992 | 0  |
| Luis        | Aquino        | 160000   | 1991 | 0  |
| Luis        | Aquino        | 108000   | 1990 | 0  |
| Luis        | Aquino        | 68000    | 1989 | 0  |
| Alex        | Arias         | 550000   | 2001 | 2  |
| Alex        | Arias         | 550000   | 2000 | 2  |
| Alex        | Arias         | 625000   | 1999 | 4  |
| Alex        | Arias         | 425000   | 1998 | 1  |
| Alex        | Arias         | 450000   | 1997 | 1  |
| Alex        | Arias         | 412500   | 1996 | 3  |
| Alex        | Arias         | 200000   | 1995 | 3  |
| Alex        | Arias         | 155000   | 1994 | 0  |
| Alex        | Arias         | 123000   | 1993 | 2  |
| George      | Arias         | 215000   | 1999 | 7  |
| George      | Arias         | 181000   | 1998 | 1  |
| George      | Arias         | 109000   | 1996 | 6  |
| Tony        | Armas         | 525000   | 1989 | 11 |
| Tony        | Armas         | 100000   | 1988 | 13 |
| Tony        | Armas         | 62500    | 1987 | 3  |
| Tony        | Armas         | 1000000  | 1986 | 11 |
| Tony        | Armas         | 915000   | 1985 | 23 |
| Tony        | Armas         | 230000   | 2001 | 0  |
| Tony        | Armas         | 200000   | 2000 | 0  |
| Jack        | Armstrong     | 1150000  | 1994 | 0  |
| Jack        | Armstrong     | 854545   | 1993 | 0  |
| Jack        | Armstrong     | 281545   | 1992 | 0  |
| Jack        | Armstrong     | 215000   | 1991 | 0  |
| Jack        | Armstrong     | 107500   | 1990 | 0  |
| Tony        | Arnold        | 62500    | 1987 | 0  |
| Brad        | Arnsberg      | 150000   | 1992 | 0  |
| Brad        | Arnsberg      | 287500   | 1991 | 0  |
| Brad        | Arnsberg      | 107500   | 1990 | 0  |
| Brad        | Arnsberg      | 68000    | 1987 | 0  |
| Rene        | Arocha        | 195000   | 1995 | 0  |
| Rene        | Arocha        | 160000   | 1994 | 0  |
| Rene        | Arocha        | 109000   | 1993 | 0  |
| Rolando     | Arrojo        | 1625000  | 2001 | 0  |
| Rolando     | Arrojo        | 325000   | 2000 | 0  |
| Rolando     | Arrojo        | 325000   | 2000 | 0  |
| Rolando     | Arrojo        | 250000   | 1999 | 0  |
| Rolando     | Arrojo        | 245000   | 1998 | 0  |
| Bronson     | Arroyo        | 225000   | 2001 | 0  |
| Alan        | Ashby         | 450000   | 1988 | 7  |
| Alan        | Ashby         | 575000   | 1987 | 14 |
| Alan        | Ashby         | 525000   | 1986 | 7  |
| Alan        | Ashby         | 416667   | 1985 | 8  |
| Andy        | Ashby         | 6000000  | 2001 | 0  |
| Andy        | Ashby         | 5900000  | 2000 | 0  |
| Andy        | Ashby         | 5900000  | 2000 | 0  |
| Andy        | Ashby         | 5050000  | 1999 | 0  |
| Andy        | Ashby         | 4125000  | 1998 | 0  |
| Andy        | Ashby         | 3400000  | 1997 | 0  |
| Andy        | Ashby         | 2000000  | 1996 | 0  |
| Andy        | Ashby         | 755000   | 1995 | 0  |
| Andy        | Ashby         | 225000   | 1994 | 0  |
| Andy        | Ashby         | 150000   | 1993 | 0  |
| Andy        | Ashby         | 150000   | 1993 | 0  |
| Andy        | Ashby         | 109000   | 1992 | 0  |
| Billy       | Ashley        | 275000   | 1997 | 6  |
| Billy       | Ashley        | 195000   | 1996 | 9  |
| Billy       | Ashley        | 136000   | 1995 | 8  |
| Billy       | Ashley        | 134000   | 1994 | 0  |
| Billy       | Ashley        | 124000   | 1993 | 0  |
| Paul        | Assenmacher   | 1507000  | 1999 | 0  |
| Paul        | Assenmacher   | 1325000  | 1998 | 0  |
| Paul        | Assenmacher   | 875000   | 1997 | 0  |
| Paul        | Assenmacher   | 871400   | 1996 | 0  |
| Paul        | Assenmacher   | 1287000  | 1995 | 0  |
| Paul        | Assenmacher   | 2637334  | 1994 | 0  |
| Paul        | Assenmacher   | 2665333  | 1993 | 0  |
| Paul        | Assenmacher   | 2665333  | 1993 | 0  |
| Paul        | Assenmacher   | 1913333  | 1992 | 0  |
| Paul        | Assenmacher   | 1110000  | 1991 | 0  |
| Paul        | Assenmacher   | 450000   | 1990 | 0  |
| Paul        | Assenmacher   | 271000   | 1989 | 0  |
| Paul        | Assenmacher   | 271000   | 1989 | 0  |
| Paul        | Assenmacher   | 81000    | 1988 | 0  |
| Paul        | Assenmacher   | 80000    | 1987 | 0  |
| Paul        | Assenmacher   | 60000    | 1986 | 0  |
| Pedro       | Astacio       | 6850000  | 2001 | 0  |
| Pedro       | Astacio       | 6850000  | 2001 | 0  |
| Pedro       | Astacio       | 6350000  | 2000 | 0  |
| Pedro       | Astacio       | 6150000  | 1999 | 0  |
| Pedro       | Astacio       | 3350000  | 1998 | 0  |
| Pedro       | Astacio       | 2900000  | 1997 | 0  |
| Pedro       | Astacio       | 2900000  | 1997 | 0  |
| Pedro       | Astacio       | 1100000  | 1996 | 0  |
| Pedro       | Astacio       | 425000   | 1995 | 0  |
| Pedro       | Astacio       | 325000   | 1994 | 0  |
| Pedro       | Astacio       | 136000   | 1993 | 0  |
| Keith       | Atherton      | 345000   | 1988 | 0  |
| Keith       | Atherton      | 300000   | 1987 | 0  |
| Keith       | Atherton      | 183700   | 1986 | 0  |
| Keith       | Atherton      | 183700   | 1986 | 0  |
| Keith       | Atherton      | 107333   | 1985 | 0  |
| Don         | August        | 170000   | 1990 | 0  |
| Rich        | Aurilia       | 3250000  | 2001 | 37 |
| Rich        | Aurilia       | 1550000  | 2000 | 20 |
| Rich        | Aurilia       | 950000   | 1999 | 22 |
| Rich        | Aurilia       | 265000   | 1998 | 9  |
| Rich        | Aurilia       | 175000   | 1997 | 5  |
| Rich        | Aurilia       | 110500   | 1996 | 3  |
| Rich        | Aurilia       | 109000   | 1995 | 2  |
| Joe         | Ausanio       | 110000   | 1995 | 0  |
| Brad        | Ausmus        | 4250000  | 2001 | 5  |
| Brad        | Ausmus        | 4000000  | 2000 | 7  |
| Brad        | Ausmus        | 2200000  | 1999 | 9  |
| Brad        | Ausmus        | 1600000  | 1998 | 6  |
| Brad        | Ausmus        | 1075000  | 1997 | 4  |
| Brad        | Ausmus        | 350000   | 1996 | 4  |
| Brad        | Ausmus        | 350000   | 1996 | 1  |
| Brad        | Ausmus        | 197000   | 1995 | 5  |
| Brad        | Ausmus        | 133500   | 1994 | 7  |
| Brad        | Ausmus        | 109000   | 1993 | 5  |
| Jim         | Austin        | 150000   | 1993 | 0  |
| Jim         | Austin        | 109000   | 1992 | 0  |
| Bruce       | Aven          | 320000   | 2000 | 5  |
| Bruce       | Aven          | 320000   | 2000 | 2  |
| Bruce       | Aven          | 200000   | 1999 | 12 |
| Steve       | Avery         | 750000   | 1999 | 0  |
| Steve       | Avery         | 3900000  | 1998 | 0  |
