+------------+--------------+------------+
| first_name |  last_name   |   debut    |
| Jack       | Calhoun      | 1902-06-27 |
| Jim        | Miller       | 1901-09-09 |
| John       | Hinton       | 1901-06-03 |
| Billy      | Taylor       | 1898-09-19 |
| George     | Smith        | 1897-09-01 |
| Jim        | Gardner      | 1895-06-20 |
| Willie     | Clark        | 1895-06-20 |
| George     | Carey        | 1895-04-26 |
| Bobby      | Wallace      | 1894-09-15 |
| Sam        | Gillen       | 1893-08-19 |
| Bobby      | Cargo        | 1892-10-06 |
| Will       | Thompson     | 1892-07-09 |
| Frank      | Killen       | 1891-08-27 |
| Billy      | Gumbert      | 1890-06-19 |
| Ed         | Hutchinson   | 1890-06-17 |
| Tun        | Berger       | 1890-05-09 |
| Bobby      | Lowe         | 1890-04-19 |
| Grant      | Briggs       | 1890-04-17 |
| Al         | Krumm        | 1889-05-17 |
| Ad         | Gumbert      | 1888-09-15 |
| Pete       | McShannic    | 1888-09-15 |
| Bill       | Blair        | 1888-07-19 |
| Bill       | Hallman      | 1888-04-23 |
| Billy      | Otterson     | 1887-09-04 |
| Mark       | Baldwin      | 1887-05-02 |
| William    | Zay          | 1886-10-07 |
| Elmer      | Smith        | 1886-09-10 |
| Jim        | Gray         | 1884-10-09 |
| Chuck      | Lauer        | 1884-07-17 |
| Frank      | Shaffer      | 1884-04-24 |
| Germany    | Smith        | 1884-04-17 |
| Jake       | Seymour      | 1882-09-23 |
| Chappy     | Lane         | 1882-05-16 |
| Al         | Pratt        | 1871-05-04 |
| Denny      | McKnight     | NULL       |
| Stan       | Robison      | NULL       |
+------------+--------------+------------+
