+-----+----------------------------------------+-----------------+
| id  |                 title                  | production_code |
| 64  | A Clean Sweep                          | CYB063          |
| 65  | Designing Mr. Perfect                  | CYB064          |
| 68  | The Flying Parallinis                  | CYB065          |
| 66  | EcoHaven Ooze                          | CYB066          |
| 67  | The Fairy Borg Father                  | CYB067          |
| 70  | Inside Hacker                          | CYB068          |
| 71  | On the Line                            | CYB069          |
| 72  | A Fraction of a Chance                 | CYB070          |
| 63  | The Halloween Howl                     | CYB071          |
| 69  | Crystal Clear                          | CYB072          |
| 73  | Digit's B-Day Surprise                 | CYB073          |
| 74  | When Penguins Fly                      | CYB074          |
| 75  | Unhappily Ever After                   | CYB075          |
| 76  | Escape From Merlin's Maze              | CYB076          |
| 77  | Step By Step                           | CYB077          |
| 81  | Chaos as Usual                         | CYB078          |
| 78  | Team Spirit                            | CYB079          |
| 79  | Jimaya Jam                             | CYB080          |
| 80  | A Perfect Score                        | CYB081          |
| 82  | Spheres of Fears                       | CYB082          |
| 83  | Weather Watchers Gone With The Fog     | CYB083          |
| 84  | The Emperor Has Snow Clothes           | CYB084          |
| 85  | The X-Factor                           | CYB085          |
| 86  | Blowin' in the Wind Blowin in the Wind | CYB086          |
| 87  | Father's Day                           | CYB087          |
| 88  | The Deedle Beast                       | CYB088          |
| 89  | Spellbound                             | CYB089          |
| 90  | The Hacker's Challenge                 | CYB090          |
| 93  | Hackerized!                            | CYB091          |
| 94  | The Bluebird of Zappiness              | CYB092          |
| 91  | Face-Off!                              | CYB093          |
| 92  | Peace, Love, and Hackerness            | CYB094          |
| 95  | An Urchin Matter                       | CYB095          |
| 96  | Going Solar                            | CYB096          |
| 97  | Trash Creep                            | CYB097          |
| 98  | The Cyberchase Movie                   | CYB099          |
| 99  | The Cyberchase Movie                   | CYB100          |
| 100 | Fit to be Heroes                       | CYB101          |
| 101 | A Recipe for Chaos                     | CYB102          |
| 102 | A Seedy Business                       | CYB103          |
| 103 | Parks and Recreation                   | CYB104          |
| 104 | Bottled Up                             | CYB105          |
| 105 | Watts of Halloween Trouble             | CYB106          |
| 106 | Creech's Creature Quandary             | CYB107          |
| 107 | A Murky Mystery in Mermaidos           | CYB108          |
| 108 | Plantasaurus!                          | CYB109          |
| 109 | A Reboot Eve to Remember               | CYB110          |
| 110 | Housewarming Party                     | CYB111          |
| 111 | Invasion of the Funky Flower           | CYB112          |
| 112 | A Renewable Hope                       | CYB113          |
| 113 | The Migration Situation                | CYB114          |
| 114 | Back to Canalia's Future               | CYB115          |
| 117 | Giving Thanks Day                      | CYB116          |
| 116 | Space Waste Odyssey                    | CYB117          |
| 115 | Space Waste Odyssey                    | CYB118          |
| 118 | A Garden Grows in Botlyn               | CYB119          |
| 119 | Missing Bats in Sensible Flats         | CYB120          |
| 120 | Water Woes                             | CYB121          |
| 121 | Soil Turmoil                           | CYB122          |
| 122 | Hacker Hugs a Tree                     | CYB123          |
| 123 | Pursuit of the Prism of Power          | CYB124          |
| 124 | Composting in the Clutch               | CYB125          |
| 125 | A Camping Conundrum                    | CYB126          |
| 126 | Journey of a Thousand Food Miles       | CYB127          |
| 127 | Duck Stop                              | CYB128          |
| 128 | The Great Outdoors                     | CYB129          |
| 129 | Coral Grief                            | CYB130          |
| 130 | Sustainable by Design                  | CYB131          |
| 131 | Hacker's Bright Idea                   | CYB132          |
| 132 | Buzz and the Tree                      | CYB133          |
| 133 | The Lilting Loons                      | CYB134          |
| 134 | Living in Disharmony                   | CYB135          |
| 135 | Traffic Trouble                        | CYB136          |
| 136 | A Garden is Born                       | CYB137          |
| 137 | Clean-Up on Isle 8                     | CYB138          |
| 140 | Trees, Please                          | CYB139          |
| 138 | Weather or Not                         | CYB140          |
| 139 | Weather or Not                         | CYB141          |
+-----+----------------------------------------+-----------------+
